code,geoid,state,chamber,district,name,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
OK-H-17,40017,OK,lower,17,State House District 17,16494.0,3609.0,12158.0,17127.0,3578.0,13264.0,16439.0,3198.0,13012.0,-54.220840997019096,-57.51098444365277,-60.54287476866133
OK-H-79,40079,OK,lower,79,State House District 79,14261.0,5620.0,7750.0,14349.0,6889.0,7067.0,0.0,0.0,0.0,-15.93118922961855,-1.2754370879908283,
OK-H-22,40022,OK,lower,22,State House District 22,14786.0,2702.0,11520.0,15715.0,2694.0,12739.0,16219.0,2606.0,13347.0,-62.0025312895514,-65.08779887254585,-67.32902902275434
OK-H-42,40042,OK,lower,42,State House District 42,15172.0,2652.0,11836.0,16080.0,2817.0,12986.0,16296.0,2763.0,13302.0,-63.390392048591934,-64.3485414161868,-65.60224089635854
OK-H-62,40062,OK,lower,62,State House District 62,9829.0,4035.0,5229.0,10952.0,5000.0,5649.0,11517.0,5332.0,5980.0,-12.888601036269431,-6.094468964221993,-5.728429985855729
OK-H-44,40044,OK,lower,44,State House District 44,12634.0,7469.0,3986.0,12292.0,8152.0,3737.0,10987.0,7068.0,3663.0,30.405936272370145,37.135166961056434,31.73050041934582
OK-H-36,40036,OK,lower,36,State House District 36,17807.0,3618.0,13223.0,20209.0,4536.0,15208.0,3310.0,673.0,2582.0,-57.033430318864674,-54.05186385737439,-58.64823348694317
OK-H-61,40061,OK,lower,61,State House District 61,14036.0,1548.0,11902.0,13829.0,1632.0,11968.0,12321.0,1452.0,10679.0,-76.9814126394052,-76.0,-76.06133047564091
OK-H-50,40050,OK,lower,50,State House District 50,15761.0,2746.0,12439.0,16599.0,2790.0,13515.0,16260.0,2865.0,13140.0,-63.832729667434975,-65.77736890524379,-64.19868791002811
OK-H-88,40088,OK,lower,88,State House District 88,13276.0,8137.0,3923.0,14297.0,10021.0,3826.0,0.0,0.0,0.0,34.94195688225539,44.73893262078428,
OK-H-51,40051,OK,lower,51,State House District 51,16900.0,2650.0,13558.0,17922.0,2735.0,14892.0,19404.0,2982.0,16156.0,-67.30009871668312,-68.96806036194474,-68.83686905632771
OK-H-45,40045,OK,lower,45,State House District 45,14563.0,6673.0,6599.0,16172.0,8414.0,7246.0,16335.0,8464.0,7511.0,0.5575647980711272,7.458492975734356,5.965571205007825
OK-H-56,40056,OK,lower,56,State House District 56,13044.0,2533.0,9821.0,13545.0,2788.0,10480.0,14568.0,2983.0,11337.0,-58.99303869192164,-57.97407295749171,-58.337988826815646
